FileName_Original_Iba1_cell,Time_weeks,Electrode_Thickness,SubImage,Animal_ID,number_of_cells
R10_4hpi_11_Iba1_1_FilteredSubtracted.tif,00WPI,11,1,1,72
R10_4hpi_11_Iba1_2_FilteredSubtracted.tif,00WPI,11,2,1,85
R10_4hpi_11_Iba1_3_FilteredSubtracted.tif,00WPI,11,3,1,79
R10_4hpi_11_Iba1_4_FilteredSubtracted.tif,00WPI,11,4,1,68
R10_4hpi_16_Iba1_1_FilteredSubtracted.tif,00WPI,16,1,2,90
R10_4hpi_16_Iba1_2_FilteredSubtracted.tif,00WPI,16,2,2,54
R10_4hpi_16_Iba1_3_FilteredSubtracted.tif,00WPI,16,3,2,57
R10_4hpi_16_Iba1_4_FilteredSubtracted.tif,00WPI,16,4,2,64
R10_4hpi_50_Iba1_1_FilteredSubtracted.tif,00WPI,50,1,3,81
R10_4hpi_50_Iba1_2_FilteredSubtracted.tif,00WPI,50,2,3,63
R10_4hpi_50_Iba1_3_FilteredSubtracted.tif,00WPI,50,3,3,71
R10_4hpi_50_Iba1_4_FilteredSubtracted.tif,00WPI,50,4,3,65
R10_4hpi_6_Iba1_1_FilteredSubtracted.tif,00WPI,6,1,4,92
R11_4hpi_11_Iba1_1_FilteredSubtracted.tif,00WPI,11,1,5,73
R11_4hpi_11_Iba1_2_FilteredSubtracted.tif,00WPI,11,2,5,61
R11_4hpi_11_Iba1_3_FilteredSubtracted.tif,00WPI,11,3,5,68
R11_4hpi_11_Iba1_4_FilteredSubtracted.tif,00WPI,11,4,5,56
R11_4hpi_16_Iba1_1_FilteredSubtracted.tif,00WPI,16,1,6,79
R11_4hpi_16_Iba1_2_FilteredSubtracted.tif,00WPI,16,2,6,90
R11_4hpi_16_Iba1_3_FilteredSubtracted.tif,00WPI,16,3,6,86
R11_4hpi_16_Iba1_4_FilteredSubtracted.tif,00WPI,16,4,6,76
R11_4hpi_50_Iba1_1_FilteredSubtracted.tif,00WPI,50,1,7,84
R11_4hpi_50_Iba1_2_FilteredSubtracted.tif,00WPI,50,2,7,75
R11_4hpi_50_Iba1_3_FilteredSubtracted.tif,00WPI,50,3,7,57
R11_4hpi_50_Iba1_4_FilteredSubtracted.tif,00WPI,50,4,7,74
R12_4hpi_11_Iba1_1_FilteredSubtracted.tif,00WPI,11,1,8,83
R12_4hpi_11_Iba1_2_FilteredSubtracted.tif,00WPI,11,2,8,94
R12_4hpi_11_Iba1_3_FilteredSubtracted.tif,00WPI,11,3,8,74
R12_4hpi_11_Iba1_4_FilteredSubtracted.tif,00WPI,11,4,8,71
R12_4hpi_16_Iba1_1_FilteredSubtracted.tif,00WPI,16,1,9,81
R12_4hpi_16_Iba1_2_FilteredSubtracted.tif,00WPI,16,2,9,98
R12_4hpi_16_Iba1_3_FilteredSubtracted.tif,00WPI,16,3,9,111
R12_4hpi_16_Iba1_4_FilteredSubtracted.tif,00WPI,16,4,9,84
R12_4hpi_50_Iba1_1_FilteredSubtracted.tif,00WPI,50,1,10,83
R12_4hpi_50_Iba1_2_FilteredSubtracted.tif,00WPI,50,2,10,75
R12_4hpi_50_Iba1_3_FilteredSubtracted.tif,00WPI,50,3,10,69
R12_4hpi_50_Iba1_4_FilteredSubtracted.tif,00WPI,50,4,10,75
R13_4hpi_11_Iba1_1_FilteredSubtracted.tif,00WPI,11,1,11,55
R13_4hpi_11_Iba1_2_FilteredSubtracted.tif,00WPI,11,2,11,81
R13_4hpi_11_Iba1_3_FilteredSubtracted.tif,00WPI,11,3,11,65
R13_4hpi_11_Iba1_4_FilteredSubtracted.tif,00WPI,11,4,11,63
R13_4hpi_16_Iba1_1_FilteredSubtracted.tif,00WPI,16,1,12,69
R13_4hpi_16_Iba1_2_FilteredSubtracted.tif,00WPI,16,2,12,92
R13_4hpi_16_Iba1_3_FilteredSubtracted.tif,00WPI,16,3,12,69
R13_4hpi_16_Iba1_4_FilteredSubtracted.tif,00WPI,16,4,12,71
