Animal_ID,avg_cells,total_images
1,304,4
2,265,4
3,280,4
4,92,1
5,258,4
6,331,4
7,290,4
8,322,4
9,374,4
10,302,4
11,264,4
12,301,4
13,291,4
14,523,4
15,484,4
16,390,3
17,419,4
18,241,1
19,132,4
20,496,4
21,451,4
22,723,4
23,631,4
24,485,4
25,493,4
26,513,4
27,670,4
28,568,4
29,695,4
30,499,4
31,549,4
32,818,4
33,553,4
34,688,4
35,634,4
36,703,4
37,683,4
38,436,3
39,643,4
40,480,4
41,443,4
42,183,2
43,190,2
44,407,4
45,384,4
46,467,4
47,453,4
48,68,1
49,202,2
50,199,3
51,235,4
52,254,4
53,68,1
54,399,4
55,318,4
56,262,3
57,248,3
58,305,4
59,392,4
60,144,2
61,253,3
62,311,4
63,270,4
