X,Y,Image
2712,2034,R10_4hpi_11_Iba1_1_FilteredSubtracted.tif
2760,2172,R10_4hpi_11_Iba1_2_FilteredSubtracted.tif
2808,2154,R10_4hpi_11_Iba1_3_FilteredSubtracted.tif
2736,2196,R10_4hpi_11_Iba1_4_FilteredSubtracted.tif
2898,2214,R10_4hpi_16_Iba1_1_FilteredSubtracted.tif
2730,2208,R10_4hpi_16_Iba1_2_FilteredSubtracted.tif
2688,2130,R10_4hpi_16_Iba1_3_FilteredSubtracted.tif
2808,2226,R10_4hpi_16_Iba1_4_FilteredSubtracted.tif
2736,2256,R10_4hpi_50_Iba1_1_FilteredSubtracted.tif
2742,2184,R10_4hpi_50_Iba1_2_FilteredSubtracted.tif
2766,2094,R10_4hpi_50_Iba1_3_FilteredSubtracted.tif
2778,2070,R10_4hpi_50_Iba1_4_FilteredSubtracted.tif
2754,2262,R10_4hpi_6_Iba1_1_FilteredSubtracted.tif
2718,2280,R11_4hpi_11_Iba1_1_FilteredSubtracted.tif
2706,2280,R11_4hpi_11_Iba1_2_FilteredSubtracted.tif
2748,2178,R11_4hpi_11_Iba1_3_FilteredSubtracted.tif
2616,2028,R11_4hpi_11_Iba1_4_FilteredSubtracted.tif
2640,2190,R11_4hpi_16_Iba1_1_FilteredSubtracted.tif
2682,2070,R11_4hpi_16_Iba1_2_FilteredSubtracted.tif
2742,2154,R11_4hpi_16_Iba1_3_FilteredSubtracted.tif
2670,2136,R11_4hpi_16_Iba1_4_FilteredSubtracted.tif
2712,2226,R11_4hpi_50_Iba1_1_FilteredSubtracted.tif
2832,2202,R11_4hpi_50_Iba1_2_FilteredSubtracted.tif
2760,2130,R11_4hpi_50_Iba1_3_FilteredSubtracted.tif
2694,2064,R11_4hpi_50_Iba1_4_FilteredSubtracted.tif
2784,2412,R12_4hpi_11_Iba1_1_FilteredSubtracted.tif
2682,2016,R12_4hpi_11_Iba1_2_FilteredSubtracted.tif
2640,2292,R12_4hpi_11_Iba1_3_FilteredSubtracted.tif
2562,2274,R12_4hpi_11_Iba1_4_FilteredSubtracted.tif
2748,2310,R12_4hpi_16_Iba1_1_FilteredSubtracted.tif
2754,1980,R12_4hpi_16_Iba1_2_FilteredSubtracted.tif
2724,2274,R12_4hpi_16_Iba1_3_FilteredSubtracted.tif
2772,2166,R12_4hpi_16_Iba1_4_FilteredSubtracted.tif
2652,2220,R12_4hpi_50_Iba1_1_FilteredSubtracted.tif
2562,2232,R12_4hpi_50_Iba1_2_FilteredSubtracted.tif
2676,2214,R12_4hpi_50_Iba1_3_FilteredSubtracted.tif
2700,2268,R12_4hpi_50_Iba1_4_FilteredSubtracted.tif
2274,2526,R13_4hpi_11_Iba1_1_FilteredSubtracted.tif
2712,2154,R13_4hpi_11_Iba1_2_FilteredSubtracted.tif
2688,2190,R13_4hpi_11_Iba1_3_FilteredSubtracted.tif
2742,2232,R13_4hpi_11_Iba1_4_FilteredSubtracted.tif
2784,2250,R13_4hpi_16_Iba1_1_FilteredSubtracted.tif
2736,2136,R13_4hpi_16_Iba1_2_FilteredSubtracted.tif
2718,2214,R13_4hpi_16_Iba1_3_FilteredSubtracted.tif
2724,2268,R13_4hpi_16_Iba1_4_FilteredSubtracted.tif
2700,2160,R13_4hpi_50_Iba1_1_FilteredSubtracted.tif
2670,2346,R13_4hpi_50_Iba1_2_FilteredSubtracted.tif
2676,1860,R13_4hpi_50_Iba1_3_FilteredSubtracted.tif
2706,2040,R13_4hpi_50_Iba1_4_FilteredSubtracted.tif
2682,2094,R17_4hpi_50_Iba1_1_FilteredSubtracted.tif
2646,2058,R17_4hpi_50_Iba1_2_FilteredSubtracted.tif
2874,2244,R17_4hpi_50_Iba1_3_FilteredSubtracted.tif
2616,2160,R19_5dpi_11_Iba1_1_FilteredSubtracted.tif
2430,2004,R19_5dpi_11_Iba1_2_FilteredSubtracted.tif
2694,2148,R19_5dpi_11_Iba1_3_FilteredSubtracted.tif
2688,1872,R19_5dpi_11_Iba1_4_FilteredSubtracted.tif
2658,2208,R19_5dpi_16_Iba1_1_FilteredSubtracted.tif
2730,2094,R19_5dpi_16_Iba1_2_FilteredSubtracted.tif
2616,2202,R19_5dpi_16_Iba1_3_FilteredSubtracted.tif
2784,2148,R19_5dpi_16_Iba1_4_FilteredSubtracted.tif
2748,2082,R19_5dpi_50_Iba1_1_FilteredSubtracted.tif
2724,2154,R19_5dpi_50_Iba1_2_FilteredSubtracted.tif
2754,2100,R19_5dpi_50_Iba1_3_FilteredSubtracted.tif
2682,2040,R19_5dpi_6_Iba1_1_FilteredSubtracted.tif
2772,2172,R19_5dpi_6_Iba1_2_FilteredSubtracted.tif
2706,2202,R19_5dpi_6_Iba1_3_FilteredSubtracted.tif
2730,2094,R19_5dpi_6_Iba1_4_FilteredSubtracted.tif
2664,2166,R20_5dpi_11_Iba1_1_FilteredSubtracted.tif
2748,2154,R20_5dpi_11_Iba1_2_FilteredSubtracted.tif
2952,2196,R20_5dpi_11_Iba1_4_FilteredSubtracted.tif
2772,2118,R20_5dpi_16_Iba1_1_FilteredSubtracted.tif
2724,2088,R20_5dpi_16_Iba1_2_FilteredSubtracted.tif
2628,2220,R20_5dpi_16_Iba1_3_FilteredSubtracted.tif
2700,2142,R20_5dpi_16_Iba1_4_FilteredSubtracted.tif
2712,2124,R20_5dpi_50_Iba1_1_FilteredSubtracted.tif
2574,2238,R20_5dpi_50_Iba1_2_FilteredSubtracted.tif
2760,2196,R20_5dpi_50_Iba1_3_FilteredSubtracted.tif
2700,2118,R20_5dpi_50_Iba1_4_FilteredSubtracted.tif
2736,2076,R20_5dpi_6_Iba1_1_FilteredSubtracted.tif
2700,2094,R20_5dpi_6_Iba1_2_FilteredSubtracted.tif
2718,2172,R20_5dpi_6_Iba1_3_FilteredSubtracted.tif
2712,2082,R20_5dpi_6_Iba1_4_FilteredSubtracted.tif
2694,2118,R22_14dpi_6_Iba1_1_FilteredSubtracted.tif
2778,2226,R22_14dpi_6_Iba1_2_FilteredSubtracted.tif
2808,2190,R22_14dpi_6_Iba1_3_FilteredSubtracted.tif
2772,2232,R22_14dpi_6_Iba1_4_FilteredSubtracted.tif
2826,2016,R22_2wpi_11_Iba1_1_FilteredSubtracted.tif
2796,2124,R22_2wpi_11_Iba1_2_FilteredSubtracted.tif
2790,2292,R22_2wpi_11_Iba1_3_FilteredSubtracted.tif
2760,2160,R22_2wpi_11_Iba1_4_FilteredSubtracted.tif
2724,2106,R22_2wpi_16_Iba1_1_FilteredSubtracted.tif
2766,2154,R22_2wpi_16_Iba1_2_FilteredSubtracted.tif
2760,2130,R22_2wpi_16_Iba1_3_FilteredSubtracted.tif
2718,2148,R22_2wpi_16_Iba1_4_FilteredSubtracted.tif
2700,2172,R22_2wpi_50_Iba1_1_FilteredSubtracted.tif
2634,2124,R22_2wpi_50_Iba1_2_FilteredSubtracted.tif
2694,2136,R22_2wpi_50_Iba1_3_FilteredSubtracted.tif
2688,2076,R22_2wpi_50_Iba1_4_FilteredSubtracted.tif
